date,hour,timezone,isEvent,isHoliday
2024-12-01,00,PST,0,0
2024-12-01,01,PST,0,0
2024-12-01,02,PST,0,0
2024-12-01,03,PST,0,0
2024-12-01,04,PST,0,0
2024-12-01,05,PST,0,0
2024-12-01,06,PST,0,0
2024-12-01,07,PST,0,0
2024-12-01,08,PST,0,0
2024-12-01,09,PST,0,0
2024-12-01,10,PST,0,0
2024-12-01,11,PST,0,0
2024-12-01,12,PST,0,0
2024-12-01,13,PST,0,0
2024-12-01,14,PST,0,0
2024-12-01,15,PST,0,0
2024-12-01,16,PST,0,0
2024-12-01,17,PST,0,0
2024-12-01,18,PST,0,0
2024-12-01,19,PST,0,0
2024-12-01,20,PST,0,0
2024-12-01,21,PST,0,0
2024-12-01,22,PST,0,0
2024-12-01,23,PST,0,0
2024-12-02,00,PST,0,0
2024-12-02,01,PST,0,0
2024-12-02,02,PST,0,0
2024-12-02,03,PST,0,0
2024-12-02,04,PST,0,0
2024-12-02,05,PST,0,0
2024-12-02,06,PST,0,0
2024-12-02,07,PST,0,0
2024-12-02,08,PST,0,0
2024-12-02,09,PST,0,0
2024-12-02,10,PST,0,0
2024-12-02,11,PST,0,0
2024-12-02,12,PST,0,0
2024-12-02,13,PST,0,0
2024-12-02,14,PST,0,0
2024-12-02,15,PST,0,0
2024-12-02,16,PST,0,0
2024-12-02,17,PST,0,0
2024-12-02,18,PST,0,0
2024-12-02,19,PST,0,0
2024-12-02,20,PST,0,0
2024-12-02,21,PST,0,0
2024-12-02,22,PST,0,0
2024-12-02,23,PST,0,0
2024-12-03,00,PST,0,0
2024-12-03,01,PST,0,0
2024-12-03,02,PST,0,0
2024-12-03,03,PST,0,0
2024-12-03,04,PST,0,0
2024-12-03,05,PST,0,0
2024-12-03,06,PST,0,0
2024-12-03,07,PST,0,0
2024-12-03,08,PST,0,0
2024-12-03,09,PST,0,0
2024-12-03,10,PST,0,0
2024-12-03,11,PST,0,0
2024-12-03,12,PST,0,0
2024-12-03,13,PST,0,0
2024-12-03,14,PST,0,0
2024-12-03,15,PST,0,0
2024-12-03,16,PST,0,0
2024-12-03,17,PST,0,0
2024-12-03,18,PST,1,0
2024-12-03,19,PST,1,0
2024-12-03,20,PST,1,0
2024-12-03,21,PST,1,0
2024-12-03,22,PST,1,0
2024-12-03,23,PST,1,0
2024-12-04,00,PST,0,0
2024-12-04,01,PST,0,0
2024-12-04,02,PST,0,0
2024-12-04,03,PST,0,0
2024-12-04,04,PST,0,0
2024-12-04,05,PST,0,0
2024-12-04,06,PST,0,0
2024-12-04,07,PST,0,0
2024-12-04,08,PST,0,0
2024-12-04,09,PST,0,0
2024-12-04,10,PST,0,0
2024-12-04,11,PST,0,0
2024-12-04,12,PST,0,0
2024-12-04,13,PST,0,0
2024-12-04,14,PST,0,0
2024-12-04,15,PST,0,0
2024-12-04,16,PST,0,0
2024-12-04,17,PST,0,0
2024-12-04,18,PST,0,0
2024-12-04,19,PST,0,0
2024-12-04,20,PST,0,0
2024-12-04,21,PST,0,0
2024-12-04,22,PST,0,0
2024-12-04,23,PST,0,0
2024-12-05,00,PST,0,0
2024-12-05,01,PST,0,0
2024-12-05,02,PST,0,0
2024-12-05,03,PST,0,0
2024-12-05,04,PST,0,0
2024-12-05,05,PST,0,0
2024-12-05,06,PST,0,0
2024-12-05,07,PST,0,0
2024-12-05,08,PST,0,0
2024-12-05,09,PST,0,0
2024-12-05,10,PST,0,0
2024-12-05,11,PST,0,0
2024-12-05,12,PST,0,0
2024-12-05,13,PST,0,0
2024-12-05,14,PST,0,0
2024-12-05,15,PST,0,0
2024-12-05,16,PST,0,0
2024-12-05,17,PST,0,0
2024-12-05,18,PST,0,0
2024-12-05,19,PST,0,0
2024-12-05,20,PST,0,0
2024-12-05,21,PST,0,0
2024-12-05,22,PST,0,0
2024-12-05,23,PST,0,0
2024-12-06,00,PST,0,0
2024-12-06,01,PST,0,0
2024-12-06,02,PST,0,0
2024-12-06,03,PST,0,0
2024-12-06,04,PST,0,0
2024-12-06,05,PST,0,0
2024-12-06,06,PST,0,0
2024-12-06,07,PST,0,0
2024-12-06,08,PST,0,0
2024-12-06,09,PST,0,0
2024-12-06,10,PST,0,0
2024-12-06,11,PST,0,0
2024-12-06,12,PST,1,0
2024-12-06,13,PST,1,0
2024-12-06,14,PST,1,0
2024-12-06,15,PST,1,0
2024-12-06,16,PST,1,0
2024-12-06,17,PST,1,0
2024-12-06,18,PST,1,0
2024-12-06,19,PST,1,0
2024-12-06,20,PST,1,0
2024-12-06,21,PST,1,0
2024-12-06,22,PST,1,0
2024-12-06,23,PST,1,0
2024-12-07,00,PST,0,0
2024-12-07,01,PST,0,0
2024-12-07,02,PST,0,0
2024-12-07,03,PST,0,0
2024-12-07,04,PST,0,0
2024-12-07,05,PST,0,0
2024-12-07,06,PST,0,0
2024-12-07,07,PST,0,0
2024-12-07,08,PST,0,0
2024-12-07,09,PST,0,0
2024-12-07,10,PST,0,0
2024-12-07,11,PST,0,0
2024-12-07,12,PST,1,0
2024-12-07,13,PST,1,0
2024-12-07,14,PST,1,0
2024-12-07,15,PST,1,0
2024-12-07,16,PST,1,0
2024-12-07,17,PST,1,0
2024-12-07,18,PST,1,0
2024-12-07,19,PST,1,0
2024-12-07,20,PST,1,0
2024-12-07,21,PST,1,0
2024-12-07,22,PST,1,0
2024-12-07,23,PST,1,0
2024-12-08,00,PST,0,0
2024-12-08,01,PST,0,0
2024-12-08,02,PST,0,0
2024-12-08,03,PST,0,0
2024-12-08,04,PST,0,0
2024-12-08,05,PST,0,0
2024-12-08,06,PST,0,0
2024-12-08,07,PST,0,0
2024-12-08,08,PST,0,0
2024-12-08,09,PST,0,0
2024-12-08,10,PST,0,0
2024-12-08,11,PST,0,0
2024-12-08,12,PST,1,0
2024-12-08,13,PST,1,0
2024-12-08,14,PST,1,0
2024-12-08,15,PST,1,0
2024-12-08,16,PST,1,0
2024-12-08,17,PST,1,0
2024-12-08,18,PST,1,0
2024-12-08,19,PST,1,0
2024-12-08,20,PST,1,0
2024-12-08,21,PST,1,0
2024-12-08,22,PST,1,0
2024-12-08,23,PST,1,0
2024-12-09,00,PST,0,0
2024-12-09,01,PST,0,0
2024-12-09,02,PST,0,0
2024-12-09,03,PST,0,0
2024-12-09,04,PST,0,0
2024-12-09,05,PST,0,0
2024-12-09,06,PST,0,0
2024-12-09,07,PST,0,0
2024-12-09,08,PST,0,0
2024-12-09,09,PST,0,0
2024-12-09,10,PST,0,0
2024-12-09,11,PST,0,0
2024-12-09,12,PST,0,0
2024-12-09,13,PST,0,0
2024-12-09,14,PST,0,0
2024-12-09,15,PST,0,0
2024-12-09,16,PST,0,0
2024-12-09,17,PST,0,0
2024-12-09,18,PST,0,0
2024-12-09,19,PST,0,0
2024-12-09,20,PST,0,0
2024-12-09,21,PST,0,0
2024-12-09,22,PST,0,0
2024-12-09,23,PST,0,0
2024-12-10,00,PST,0,0
2024-12-10,01,PST,0,0
2024-12-10,02,PST,0,0
2024-12-10,03,PST,0,0
2024-12-10,04,PST,0,0
2024-12-10,05,PST,0,0
2024-12-10,06,PST,0,0
2024-12-10,07,PST,0,0
2024-12-10,08,PST,0,0
2024-12-10,09,PST,0,0
2024-12-10,10,PST,0,0
2024-12-10,11,PST,0,0
2024-12-10,12,PST,0,0
2024-12-10,13,PST,0,0
2024-12-10,14,PST,0,0
2024-12-10,15,PST,0,0
2024-12-10,16,PST,0,0
