date,hour,timezone,temperature_feel_like,rain_1h,clouds_all,weather_Fog,weather_Rain,weather_Clouds,weather_Clear,weather_Snow,weather_Thunderstorm
2021-12-01,11,America/Vancouver,284.46,2.29,100.0,0,1,0,0,0,0
2021-12-01,12,America/Vancouver,284.78,2.44,100.0,0,1,0,0,0,0
2021-12-01,13,America/Vancouver,284.72,1.96,100.0,0,1,0,0,0,0
2021-12-01,14,America/Vancouver,284.98,2.0,100.0,0,1,0,0,0,0
2021-12-01,15,America/Vancouver,284.76,1.61,100.0,0,1,0,0,0,0
2021-12-01,16,America/Vancouver,284.55,1.16,100.0,0,1,0,0,0,0
2021-12-01,17,America/Vancouver,284.33,0.55,100.0,0,1,0,0,0,0
2021-12-01,18,America/Vancouver,284.12,3.3,100.0,0,1,0,0,0,0
2021-12-01,19,America/Vancouver,283.65,1.21,100.0,0,1,0,0,0,0
2021-12-01,20,America/Vancouver,283.15,0.79,100.0,0,1,0,0,0,0
2021-12-01,21,America/Vancouver,282.71,0.32,100.0,0,1,0,0,0,0
2021-12-02,11,America/Vancouver,275.97,0.0,75.0,0,0,1,0,0,0
2021-12-02,12,America/Vancouver,276.46,0.25,75.0,0,1,0,0,0,0
2021-12-02,13,America/Vancouver,276.21,0.0,40.0,0,0,1,0,0,0
2021-12-02,14,America/Vancouver,276.19,0.0,20.0,0,0,1,0,0,0
2021-12-02,15,America/Vancouver,275.39,0.25,20.0,0,1,0,0,0,0
2021-12-02,16,America/Vancouver,274.71,0.0,20.0,0,0,1,0,0,0
2021-12-02,17,America/Vancouver,273.13,0.0,20.0,0,0,1,0,0,0
2021-12-02,18,America/Vancouver,272.18,0.0,0.0,0,0,0,1,0,0
2021-12-02,19,America/Vancouver,276.16,0.0,11.0,0,0,1,0,0,0
2021-12-02,20,America/Vancouver,272.17,0.0,0.0,0,0,0,1,0,0
2021-12-02,21,America/Vancouver,272.56,0.0,0.0,0,0,0,1,0,0
2021-12-03,11,America/Vancouver,273.31,0.0,75.0,0,0,1,0,0,0
2021-12-03,12,America/Vancouver,275.01,0.0,75.0,0,0,1,0,0,0
2021-12-03,13,America/Vancouver,276.46,0.0,75.0,0,0,1,0,0,0
2021-12-03,14,America/Vancouver,277.96,0.0,38.0,0,0,1,0,0,0
2021-12-03,15,America/Vancouver,274.82,0.0,75.0,0,0,1,0,0,0
2021-12-03,16,America/Vancouver,273.35,0.0,75.0,0,0,1,0,0,0
2021-12-03,17,America/Vancouver,272.84,0.0,100.0,0,0,1,0,0,0
2021-12-03,18,America/Vancouver,273.52,0.0,100.0,0,0,1,0,0,0
2021-12-03,19,America/Vancouver,273.48,0.0,100.0,0,0,1,0,0,0
2021-12-03,20,America/Vancouver,273.32,0.0,100.0,0,0,1,0,0,0
2021-12-03,21,America/Vancouver,276.48,0.0,100.0,0,0,1,0,0,0
2021-12-04,11,America/Vancouver,273.18,0.15,75.0,0,1,0,0,0,0
2021-12-04,12,America/Vancouver,273.65,0.0,75.0,0,0,1,0,0,0
2021-12-04,13,America/Vancouver,273.6,0.0,75.0,0,0,1,0,0,0
2021-12-04,14,America/Vancouver,273.48,0.0,75.0,0,0,1,0,0,0
2021-12-04,15,America/Vancouver,272.68,0.0,75.0,0,0,1,0,0,0
2021-12-04,16,America/Vancouver,272.04,0.0,75.0,0,0,1,0,0,0
2021-12-04,17,America/Vancouver,270.84,0.0,40.0,0,0,1,0,0,0
2021-12-04,18,America/Vancouver,271.52,0.0,20.0,0,0,1,0,0,0
2021-12-04,19,America/Vancouver,270.82,0.0,20.0,0,0,1,0,0,0
2021-12-04,20,America/Vancouver,271.11,0.0,20.0,0,0,1,0,0,0
2021-12-04,21,America/Vancouver,273.38,0.0,20.0,0,0,1,0,0,0
2021-12-05,11,America/Vancouver,273.59,0.0,75.0,0,0,1,0,0,0
2021-12-05,12,America/Vancouver,275.34,7.11,75.0,0,1,0,0,0,0
2021-12-05,13,America/Vancouver,275.48,5.59,75.0,0,1,0,0,0,0
2021-12-05,14,America/Vancouver,275.22,3.81,75.0,0,1,0,0,0,0
2021-12-05,15,America/Vancouver,274.34,2.03,75.0,0,1,0,0,0,0
2021-12-05,16,America/Vancouver,274.64,2.03,100.0,0,1,0,0,0,0
2021-12-05,17,America/Vancouver,274.26,1.27,100.0,0,1,0,0,0,0
2021-12-05,18,America/Vancouver,273.31,1.78,100.0,0,1,0,0,0,0
