year,date,hour,tempreture,Clear,Clouds,Fog,Rain
2024,2024-12-01,11,280.75,0,1,0,0
2024,2024-12-01,12,279.86,0,1,0,0
2024,2024-12-01,13,280.62,0,1,0,0
2024,2024-12-01,14,281.26,0,1,0,0
2024,2024-12-01,15,281.35,0,0,0,1
2024,2024-12-01,16,277.57,0,1,0,0
2024,2024-12-01,17,275.81,0,1,0,0
2024,2024-12-01,18,275.23,1,0,0,0
2024,2024-12-01,19,275.73,1,0,0,0
2024,2024-12-01,20,277.35,1,0,0,0
2024,2024-12-01,21,277.08,0,1,0,0
2024,2024-12-02,11,275.94,0,1,0,0
2024,2024-12-02,12,278.65,0,1,0,0
2024,2024-12-02,13,279.61,0,1,0,0
2024,2024-12-02,14,278.15,0,1,0,0
2024,2024-12-02,15,279.79,0,1,0,0
2024,2024-12-02,16,279.07,0,0,0,1
2024,2024-12-02,17,276.81,0,1,0,0
2024,2024-12-02,18,277.09,0,1,0,0
2024,2024-12-02,19,276.94,0,1,0,0
2024,2024-12-02,20,276.8,0,1,0,0
2024,2024-12-02,21,276.43,0,1,0,0
2024,2024-12-03,11,277.87,0,1,0,0
2024,2024-12-03,12,280.11,0,1,0,0
2024,2024-12-03,13,280.55,0,0,0,1
2024,2024-12-03,14,280.85,0,1,0,0
2024,2024-12-03,15,280.37,0,1,0,0
2024,2024-12-03,16,280.55,0,1,0,0
2024,2024-12-03,17,277.66,0,0,0,1
2024,2024-12-03,18,277.94,1,0,0,0
2024,2024-12-03,19,277.33,1,0,0,0
2024,2024-12-03,20,277.1,1,0,0,0
2024,2024-12-03,21,276.66,1,0,0,0
2024,2024-12-04,11,279.62,0,1,0,0
2024,2024-12-04,12,279.08,0,1,0,0
2024,2024-12-04,13,279.94,0,0,0,1
2024,2024-12-04,14,279.72,0,1,0,0
2024,2024-12-04,15,279.19,1,0,0,0
2024,2024-12-04,16,278.74,1,0,0,0
2024,2024-12-04,17,277.89,1,0,0,0
2024,2024-12-04,18,277.57,1,0,0,0
2024,2024-12-04,19,277.24,0,0,1,0
2024,2024-12-04,20,275.2,0,0,1,0
2024,2024-12-04,21,275.44,0,0,1,0
2024,2024-12-05,11,278.41,0,1,0,0
2024,2024-12-05,12,279.75,0,1,0,0
2024,2024-12-05,13,279.09,0,1,0,0
2024,2024-12-05,14,280.11,0,1,0,0
2024,2024-12-05,15,277.84,0,1,0,0
2024,2024-12-05,16,278.86,0,1,0,0
2024,2024-12-05,17,279.46,0,1,0,0
2024,2024-12-05,18,278.22,0,0,0,1
2024,2024-12-05,19,279.85,0,0,0,1
2024,2024-12-05,20,279.9,0,1,0,0
2024,2024-12-05,21,279.4,0,1,0,0
2024,2024-12-06,11,281.43,0,1,0,0
2024,2024-12-06,12,280.92,0,1,0,0
2024,2024-12-06,13,282.55,0,1,0,0
