year,date,hour,rain_1h,feels_like,clouds_all,Clear,Clouds,Fog,Rain
2025,2025-02-01,11,0.51,270.24,100,0,0,0,1
2025,2025-02-01,12,0.51,271.53,100,0,0,0,1
2025,2025-02-01,13,0.25,272.02,75,0,0,0,1
2025,2025-02-01,14,0.63,272.73,75,0,0,0,1
2025,2025-02-01,15,0.42,273.18,75,0,0,0,1
2025,2025-02-01,16,0.51,273.08,75,0,0,0,1
2025,2025-02-01,17,0.0,272.49,75,0,1,0,0
2025,2025-02-01,18,0.11,271.91,75,0,0,0,1
2025,2025-02-01,19,0.0,270.5,75,0,1,0,0
2025,2025-02-01,20,0.0,270.69,40,0,1,0,0
2025,2025-02-01,21,0.0,271.06,20,0,1,0,0
2025,2025-02-02,11,0.0,270.33,100,0,0,0,1
2025,2025-02-02,12,0.0,270.91,75,0,0,0,1
2025,2025-02-02,13,0.51,269.49,87,0,0,0,1
2025,2025-02-02,14,1.35,270.85,75,0,0,0,1
2025,2025-02-02,15,1.34,270.3,75,0,0,0,1
2025,2025-02-02,16,6.2,269.69,75,0,0,0,1
2025,2025-02-02,17,0.51,268.9,100,0,0,0,1
2025,2025-02-02,18,0.0,269.67,75,0,0,0,1
2025,2025-02-02,19,0.0,268.73,20,0,0,0,1
2025,2025-02-02,20,0.0,268.54,20,0,0,0,1
2025,2025-02-02,21,0.0,268.05,20,0,0,0,1
2025,2025-02-03,11,0.0,266.39,100,0,0,0,1
2025,2025-02-03,12,0.0,268.2,100,0,0,0,1
2025,2025-02-03,13,0.0,267.49,96,0,0,0,1
2025,2025-02-03,14,0.0,269.72,89,0,0,0,1
2025,2025-02-03,15,0.0,269.02,100,0,0,0,1
2025,2025-02-03,16,0.0,268.64,100,0,0,0,1
2025,2025-02-03,17,0.0,271.16,100,0,0,0,1
2025,2025-02-03,18,0.0,268.94,100,0,0,0,1
2025,2025-02-03,19,0.0,267.61,100,0,0,0,1
2025,2025-02-03,20,0.0,268.03,100,0,0,0,1
2025,2025-02-03,21,0.0,270.34,96,0,0,0,1
2025,2025-02-04,11,0.0,267.0,75,0,1,0,0
2025,2025-02-04,12,0.0,268.8,75,0,1,0,0
2025,2025-02-04,13,0.0,273.47,1,1,0,0,0
2025,2025-02-04,14,0.0,271.66,75,0,0,0,1
2025,2025-02-04,15,0.0,271.41,75,0,0,0,1
