year,date,hour,rainfall,tempreture,Clear,Clouds,Fog,Rain
2024,2024-12-01,11,0.0,280.75,0,1,0,0
2024,2024-12-01,12,0.0,279.86,0,1,0,0
2024,2024-12-01,13,0.0,280.62,0,1,0,0
2024,2024-12-01,14,0.0,281.26,0,1,0,0
2024,2024-12-01,15,0.25,281.35,0,0,0,1
2024,2024-12-01,16,0.0,277.57,0,1,0,0
2024,2024-12-01,17,0.0,275.81,0,1,0,0
2024,2024-12-01,18,0.0,275.23,1,0,0,0
2024,2024-12-01,19,0.0,275.73,1,0,0,0
2024,2024-12-01,20,0.0,277.35,1,0,0,0
2024,2024-12-01,21,0.0,277.08,0,1,0,0
2024,2024-12-02,11,0.0,275.94,0,1,0,0
2024,2024-12-02,12,0.0,278.65,0,1,0,0
2024,2024-12-02,13,0.0,279.61,0,1,0,0
2024,2024-12-02,14,0.0,278.15,0,1,0,0
2024,2024-12-02,15,0.0,279.79,0,1,0,0
2024,2024-12-02,16,0.25,279.07,0,0,0,1
2024,2024-12-02,17,0.0,276.81,0,1,0,0
2024,2024-12-02,18,0.0,277.09,0,1,0,0
2024,2024-12-02,19,0.0,276.94,0,1,0,0
2024,2024-12-02,20,0.0,276.8,0,1,0,0
2024,2024-12-02,21,0.0,276.43,0,1,0,0
2024,2024-12-03,11,0.0,277.87,0,1,0,0
2024,2024-12-03,12,0.0,280.11,0,1,0,0
2024,2024-12-03,13,0.25,280.55,0,0,0,1
2024,2024-12-03,14,0.0,280.85,0,1,0,0
2024,2024-12-03,15,0.0,280.37,0,1,0,0
2024,2024-12-03,16,0.0,280.55,0,1,0,0
2024,2024-12-03,17,0.25,277.66,0,0,0,1
2024,2024-12-03,18,0.0,277.94,1,0,0,0
2024,2024-12-03,19,0.0,277.33,1,0,0,0
2024,2024-12-03,20,0.0,277.1,1,0,0,0
2024,2024-12-03,21,0.0,276.66,1,0,0,0
2024,2024-12-04,11,0.0,279.62,0,1,0,0
2024,2024-12-04,12,0.0,279.08,0,1,0,0
2024,2024-12-04,13,0.25,279.94,0,0,0,1
2024,2024-12-04,14,0.0,279.72,0,1,0,0
2024,2024-12-04,15,0.0,279.19,1,0,0,0
2024,2024-12-04,16,0.0,278.74,1,0,0,0
2024,2024-12-04,17,0.0,277.89,1,0,0,0
2024,2024-12-04,18,0.0,277.57,1,0,0,0
2024,2024-12-04,19,0.0,277.24,0,0,1,0
2024,2024-12-04,20,0.0,275.2,0,0,1,0
2024,2024-12-04,21,0.0,275.44,0,0,1,0
2024,2024-12-05,11,0.0,278.41,0,1,0,0
2024,2024-12-05,12,0.0,279.75,0,1,0,0
2024,2024-12-05,13,0.0,279.09,0,1,0,0
2024,2024-12-05,14,0.0,280.11,0,1,0,0
2024,2024-12-05,15,0.0,277.84,0,1,0,0
2024,2024-12-05,16,0.0,278.86,0,1,0,0
2024,2024-12-05,17,0.0,279.46,0,1,0,0
2024,2024-12-05,18,0.0,278.22,0,0,0,1
2024,2024-12-05,19,0.25,279.85,0,0,0,1
2024,2024-12-05,20,0.0,279.9,0,1,0,0
2024,2024-12-05,21,0.0,279.4,0,1,0,0
2024,2024-12-06,11,0.0,281.43,0,1,0,0
2024,2024-12-06,12,0.0,280.92,0,1,0,0
2024,2024-12-06,13,0.0,282.55,0,1,0,0
2024,2024-12-06,14,0.0,281.02,0,1,0,0
2024,2024-12-06,15,0.0,282.01,0,1,0,0
2024,2024-12-06,16,0.0,281.2,0,1,0,0
2024,2024-12-06,17,1.13,282.7,0,0,0,1
2024,2024-12-06,18,0.15,283.97,0,0,0,1
2024,2024-12-06,19,0.76,283.98,0,0,0,1
2024,2024-12-06,20,0.25,284.37,0,0,0,1
2024,2024-12-06,21,3.08,282.7,0,0,1,1
2024,2024-12-07,11,1.17,283.04,0,0,0,1
2024,2024-12-07,12,0.95,282.77,0,0,0,1
2024,2024-12-07,13,0.38,283.83,0,0,0,1
2024,2024-12-07,14,1.08,284.43,0,0,0,1
2024,2024-12-07,15,0.51,283.47,0,0,0,1
2024,2024-12-07,16,0.0,281.03,0,1,0,0
2024,2024-12-07,17,0.0,280.02,0,1,0,0
2024,2024-12-07,18,0.0,278.5,0,1,0,0
2024,2024-12-07,19,0.0,277.03,0,1,0,0
2024,2024-12-07,20,0.0,277.3,0,1,0,0
2024,2024-12-07,21,0.0,277.55,0,1,0,0
2024,2024-12-08,11,0.0,279.67,0,1,0,0
2024,2024-12-08,12,0.19,279.71,0,0,0,1
2024,2024-12-08,13,0.14,279.97,0,0,0,1
2024,2024-12-08,14,0.25,279.39,0,0,0,1
2024,2024-12-08,15,0.0,279.1,0,1,0,0
2024,2024-12-08,16,0.0,278.34,0,1,0,0
