date,hour,timezone
2024-03-20,00,America/Vancouver
2024-03-20,01,America/Vancouver
2024-03-20,02,America/Vancouver
2024-03-20,03,America/Vancouver
2024-03-20,04,America/Vancouver
2024-03-20,05,America/Vancouver
2024-03-20,06,America/Vancouver
2024-03-20,07,America/Vancouver
2024-03-20,08,America/Vancouver
2024-03-20,09,America/Vancouver
2024-03-20,10,America/Vancouver
2024-03-20,11,America/Vancouver
2024-03-20,12,America/Vancouver
2024-03-20,13,America/Vancouver
2024-03-20,14,America/Vancouver
2024-03-20,15,America/Vancouver
2024-03-20,16,America/Vancouver
2024-03-20,17,America/Vancouver
2024-03-20,18,America/Vancouver
2024-03-20,19,America/Vancouver
2024-03-20,20,America/Vancouver
2024-03-20,21,America/Vancouver
2024-03-20,22,America/Vancouver
2024-03-20,23,America/Vancouver
