date,hour,bill,pax,amount,amt_percentage,timezone,temperature_feel_like,rain_1h,clouds_all,weather_Fog,weather_Rain,weather_Clouds,weather_Clear,weather_Snow,weather_Thunderstorm,temperature_celsius,day_of_week,is_weekend
2024-12-01,11,6,0,127.69,7.16,America/Vancouver,280.75,0.0,75.0,0,0,1,0,0,0,7.600000000000023,Sunday,True
2024-12-01,12,15,0,182.11,10.21,America/Vancouver,279.86,0.0,75.0,0,0,1,0,0,0,6.710000000000036,Sunday,True
2024-12-01,13,12,0,160.44,8.99,America/Vancouver,280.62,0.0,40.0,0,0,1,0,0,0,7.470000000000027,Sunday,True
2024-12-01,14,15,0,166.91,9.36,America/Vancouver,281.26,0.0,80.0,0,0,1,0,0,0,8.110000000000014,Sunday,True
2024-12-01,15,16,0,248.1,13.91,America/Vancouver,281.35,0.25,80.0,0,1,0,0,0,0,8.200000000000045,Sunday,True
2024-12-01,16,10,0,177.78,9.97,America/Vancouver,277.57,0.0,77.0,0,0,1,0,0,0,4.420000000000016,Sunday,True
2024-12-01,17,18,0,206.19,11.56,America/Vancouver,275.81,0.0,20.0,0,0,1,0,0,0,2.660000000000025,Sunday,True
2024-12-01,18,10,0,111.17,6.23,America/Vancouver,275.23,0.0,0.0,0,0,0,1,0,0,2.080000000000041,Sunday,True
2024-12-01,19,13,0,183.43,10.28,America/Vancouver,275.73,0.0,0.0,0,0,0,1,0,0,2.580000000000041,Sunday,True
2024-12-01,20,12,0,148.55,8.33,America/Vancouver,277.35,0.0,0.0,0,0,0,1,0,0,4.2000000000000455,Sunday,True
2024-12-01,21,5,0,71.35,4.0,America/Vancouver,277.08,0.0,49.0,0,0,1,0,0,0,3.930000000000007,Sunday,True
2024-12-02,11,1,0,8.9,2.03,America/Vancouver,275.94,0.0,75.0,0,0,1,0,0,0,2.7900000000000205,Monday,False
2024-12-02,12,8,0,151.89,34.61,America/Vancouver,278.65,0.0,75.0,0,0,1,0,0,0,5.5,Monday,False
2024-12-02,13,4,0,45.5,10.37,America/Vancouver,279.61,0.0,75.0,0,0,1,0,0,0,6.460000000000036,Monday,False
2024-12-02,14,6,0,138.0,31.45,America/Vancouver,278.15,0.0,75.0,0,0,1,0,0,0,5.0,Monday,False
2024-12-02,15,3,0,35.02,7.98,America/Vancouver,279.79,0.0,75.0,0,0,1,0,0,0,6.640000000000043,Monday,False
2024-12-02,16,5,0,59.49,13.56,America/Vancouver,279.07,0.25,89.0,0,1,0,0,0,0,5.920000000000016,Monday,False
2024-12-02,17,0,0,0.0,0.0,America/Vancouver,276.81,0.0,98.0,0,0,1,0,0,0,3.660000000000025,Monday,False
2024-12-02,18,0,0,0.0,0.0,America/Vancouver,277.09,0.0,100.0,0,0,1,0,0,0,3.9399999999999977,Monday,False
2024-12-02,19,0,0,0.0,0.0,America/Vancouver,276.94,0.0,75.0,0,0,1,0,0,0,3.7900000000000205,Monday,False
2024-12-02,20,0,0,0.0,0.0,America/Vancouver,276.8,0.0,97.0,0,0,1,0,0,0,3.650000000000034,Monday,False
2024-12-02,21,0,0,0.0,0.0,America/Vancouver,276.43,0.0,93.0,0,0,1,0,0,0,3.2800000000000296,Monday,False
2024-12-03,11,3,0,27.41,2.94,America/Vancouver,277.87,0.0,75.0,0,0,1,0,0,0,4.720000000000027,Tuesday,False
2024-12-03,12,5,0,109.06,11.7,America/Vancouver,280.11,0.0,75.0,0,0,1,0,0,0,6.960000000000036,Tuesday,False
